,index,Position,Track Name,Artist,Streams,ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,genre
0,1,1,Good Times,Ghali,1681269,07VOfK2bIuOLxbzuNOsC2I,0.719,0.736,4,-6.32,0,0.0776,0.0315,0,0.0988,0.593,109.028,4,163073,Pop
1,2,2,Auto Blu,Shiva,1499614,2chEq24EHjyw9Zjmwq0hlS,0.82,0.783,5,-6.146,0,0.0621,0.0158,0,0.0938,0.653,130.015,4,166087,Hip-Hop/Rap
2,3,3,Fiori di Chernobyl,Mr.Rain,1499044,54PxYcGpSUCmlpGdFGTaYR,0.486,0.619,0,-9.114,1,0.118,0.327,0,0.188,0.32,159.815,4,175612,Hip-Hop/Rap
3,4,4,THE SCOTTS,THE SCOTTS,1423256,39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,0,-7.648,0,0.0514,0.233,0,0.157,0.28,129.979,4,165978,Hip-Hop/Rap
4,5,5,Roses - Imanbek Remix,SAINt JHN,1327459,24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,4,176840,Dance
5,6,6,death bed (coffee for your head),Powfu,1291406,7eJMfftS33KTjuF7lTsMCx,0.726,0.431,8,-8.765,0,0.135,0.731,0,0.696,0.348,144.026,4,173333,Hip-Hop/Rap
6,7,7,Cacao (feat. Pyrex),Ghali,1269623,3quxQPUaIie9xjJYLqc4HE,0.915,0.51,1,-5.33,1,0.096,0.0226,0,0.304,0.327,124.028,3,113831,Hip-Hop/Rap
7,8,8,SICKO MODE,Travis Scott,1124666,2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4,312820,Hip-Hop/Rap
8,9,9,Blinding Lights,The Weeknd,1111051,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4,200040,R&B/Soul
9,10,10,goosebumps,Travis Scott,1091006,6gBFPUFcJLzWGx4lenP6h2,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,4,243837,Hip-Hop/Rap
10,11,11,Nena (feat. Geolier & Andry The Hitmaker),Boro Boro,1089698,6TEPwGCSq4XGWu3hnZkC5m,0.78,0.771,6,-4.99,0,0.0538,0.0469,0,0.1,0.355,102.952,4,149126,Hip-Hop/Rap
11,12,12,blun7 a swishland,tha Supreme,1023279,7HwvPmK74MBRDhCIyMXReP,0.692,0.792,7,-5.984,1,0.245,0.13,0,0.255,0.566,129.883,4,167760,Hip-Hop/Rap
12,13,13,Boogieman (feat. Salmo),Ghali,974553,5rqUDaXTkUwi0pMyrPXTeu,0.8,0.724,1,-7.843,1,0.0704,0.0859,0.000254,0.0922,0.35,112.048,4,159911,Hip-Hop/Rap
13,14,14,Per sentirmi vivo,Fasma,960371,20v9X8TV0AgwNGFT71OX3w,0.579,0.718,2,-5.05,1,0.293,0.167,0,0.114,0.211,168.279,4,177880,Hip-Hop/Rap
14,15,15,Toosie Slide,Drake,951732,466cKvZn1j45IpxDdYZqdA,0.83,0.49,1,-8.82,0,0.209,0.289,3.04e-06,0.113,0.845,81.604,4,247059,Hip-Hop/Rap
15,16,16,Bando,ANNA,936945,0kzGjSRHGVcaWxagzQwAyD,0.97,0.739,10,-4.917,0,0.295,0.155,0,0.111,0.414,120.061,4,168000,Christmas
16,17,17,Rapide,Mahmood,912349,2cf1g08CvDuhwXFqxjetQi,0.442,0.557,0,-7.77,1,0.0711,0.357,0,0.11,0.124,119.48,4,243625,Pop
17,18,18,Tusa,KAROL G,870465,7k4t7uLgtOxPwTpFmtJNTY,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,4,200960,Urbano latino
18,19,19,Le Feste Di Pablo (con Fedez),CARA,846835,73x0EIT2YyIxTs3Rpd3n5T,0.724,0.66,5,-6.835,1,0.157,0.0294,0,0.275,0.559,102.036,4,193041,Pop
19,20,20,Dilemme (with tha Supreme & Mara Sattei),Lous and The Yakuza,833478,1Whf2ZaesM1gXlU0z3Fslt,0.859,0.54,5,-6.775,0,0.0825,0.0329,0,0.0976,0.554,145.02,4,231333,Music Documentaries
20,21,21,HIGHEST IN THE ROOM,Travis Scott,804681,3eekarcy7kvN4yt5ZFzltW,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,4,175721,Hip-Hop/Rap
21,22,22,Ringo Starr,Pinguini Tattici Nucleari,803701,5yfE6GXTuJaAlepKoE0wJE,0.754,0.925,4,-2.912,0,0.0512,0.304,0,0.313,0.857,114.077,4,183333,Pop
22,23,23,"Machete Mob (feat. Lazza, Nitro, Hell Raton & Jack The Smoker) - prod. Low Kidd",Dani Faiv,789460,1jdSQIHOSFxVqDSsSDTM8m,0.692,0.746,5,-5.07,0,0.313,0.11,0,0.176,0.447,100.881,4,227179,Hip-Hop/Rap
23,24,24,10 Sprite,Taxi B,781355,0zhsjZ8jamvv4QShuWnl5F,0.533,0.792,11,-7.531,0,0.52,0.0183,0.0244,0.731,0.588,172.096,4,166015,Hip-Hop/Rap
24,25,25,Boss Bitch,Doja Cat,733108,78qd8dvwea0Gosb6Fe6j3k,0.707,0.955,10,-4.593,0,0.222,0.127,0,0.202,0.575,125.989,4,134240,Pop
25,26,26,Una volta ancora (feat. Ana Mena),Fred De Palma,718275,6swHvavSroD4ur3Q18MjYz,0.771,0.638,8,-5.342,1,0.0622,0.0848,0,0.104,0.591,124.039,4,174291,Hip-Hop/Rap
26,27,27,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,709701,00GxbkrW4m1Tac5xySEJ4M,0.754,0.725,8,-6.058,1,0.0661,0.0104,0,0.192,0.271,120.002,4,208133,Hip-Hop/Rap
27,28,28,Musica (E Il Resto Scompare),Elettra Lamborghini,702777,3Nc7IorgrSffzaQrQWVw4L,0.779,0.835,0,-4.04,1,0.134,0.0217,0,0.393,0.922,114.987,4,194606,Urbano latino
28,29,29,Dance Monkey,Tones And I,701396,1rgnBhdG2JDFTbYkYRZAku,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,4,209755,Alternative
29,30,30,Chega,Gaia,701269,0XdjGLxXQhiPkOqXtAyEZ9,0.836,0.565,0,-6.436,1,0.121,0.596,2.47e-06,0.139,0.729,140.037,4,184576,Pop
30,31,31,Cioilflow (feat. Salmo) - prod. Strage,Dani Faiv,690935,5g3lnGtMq0m30T6xHElZqJ,0.861,0.542,7,-8.349,0,0.439,0.707,4.9e-05,0.0965,0.866,157.089,4,186160,Hip-Hop/Rap
31,32,32,Falling,Trevor Daniel,684043,2rRJrJEo19S2J82BDsQ3F7,0.784,0.43,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.087,4,159382,Pop
32,33,33,fuck 3x,tha Supreme,667839,5YxP1CkunbhUQVvctFOHa7,0.655,0.814,5,-5.472,0,0.0823,0.0698,0,0.107,0.69,180.082,4,161266,Hip-Hop/Rap
33,34,34,Bando - Remix,ANNA,665896,1Upi1oHB1ly7XdlbOz7Gjd,0.948,0.728,10,-5.153,0,0.276,0.104,0,0.105,0.529,120.007,4,168746,Hip-Hop/Rap
34,35,35,Snitch E Impicci (con FSK SATELLITE),DrefGold,649908,6HDdOPc6FWpMfjC8ebzdRC,0.89,0.555,1,-5.632,1,0.125,0.0631,0,0.111,0.265,126.032,4,202381,Hip-Hop/Rap
35,36,36,BRAVI A CADERE - I polmoni,Marracash,649139,3me7fQdjgO8NHscb3xPaBa,0.608,0.693,5,-5.676,0,0.103,0.163,0,0.104,0.276,95.005,4,200214,Hip-Hop/Rap
36,37,37,Fai rumore,Diodato,633619,2ZwcnFDvQueNemTt89qCom,0.417,0.626,6,-6.055,1,0.0366,0.218,0,0.0805,0.144,143.358,4,216140,Pop
37,38,38,Before You Go,Lewis Capaldi,601844,2gMXnyrvIjhVBUZwvLZDMP,0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,4,215107,Alternative
38,39,39,16 Marzo (feat. Gow Tribe),Achille Lauro,594391,3nwH3HTFzpnRV5SqM9um3r,0.489,0.611,0,-4.981,1,0.0298,0.215,0,0.127,0.227,129.929,4,233493,Pop
39,40,40,Viceversa,Francesco Gabbani,591217,04ldF8QeASSyJLMtZJJfqA,0.529,0.717,4,-4.776,1,0.0336,0.0348,0,0.0751,0.551,147.84,4,215267,Pop
40,41,41,Il bacio di Klimt,Emanuele Aloia,590816,3E1FgPTXX203rgBTD5nlKF,0.685,0.764,9,-4.503,1,0.0664,0.45,0,0.227,0.315,80.037,4,177000,Pop
41,42,42,MAMACITA,Black Eyed Peas,587014,14wf185UxfNbSy8dwt4r4q,0.894,0.635,2,-6.929,1,0.0473,0.193,0.00105,0.0823,0.428,105.013,4,249143,Pop
42,43,43,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,580348,5EpBEqf5bnKeJ3p4zA1Sod,0.656,0.661,9,-5.888,1,0.0602,0.0686,0,0.125,0.509,140.956,4,223045,Hip-Hop/Rap
43,44,44,In peggio - prod. Strage,Dani Faiv,572782,36jzkozloE2nFefpcJUw32,0.87,0.575,2,-6.272,1,0.293,0.528,0,0.0675,0.728,88.489,4,164747,Hip-Hop/Rap
44,45,45,Polvere e detriti (feat. Jake La Furia) - prod. Kanesh,Dani Faiv,572650,7irVEmqGdd1eqs7uqLCYKW,0.478,0.828,1,-5.599,1,0.568,0.376,0,0.122,0.471,85.33,4,237200,Hip-Hop/Rap
45,46,46,Chiasso,Random,564448,4UJoAdTMnqxQHKWKLLQpvK,0.721,0.451,6,-13.285,0,0.192,0.246,0,0.101,0.46,91.999,4,182229,Hip-Hop/Rap
46,47,47,ANSIA NO,FSK SATELLITE,559790,2yuYI5NFhevxa05se7Qht9,0.823,0.678,1,-6.664,1,0.56,0.153,0,0.218,0.706,160.133,4,148500,Hip-Hop/Rap
47,48,48,Don't Start Now,Dua Lipa,545921,3PfIrDoz19wz7qK7tYeu62,0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,4,183290,Electronic
48,49,49,Baila Conmigo (feat. Kelly Ruiz),Dayvi,539227,4Clmg1g8n2yBYG13Z1oSdG,0.745,0.972,7,-3.506,1,0.0774,0.00903,0.465,0.297,0.556,128.031,4,189818,Pop Latino
49,50,50,Dove e quando,Benji & Fede,523042,5XM7tx8ovQ9UrYqUowW1AK,0.763,0.692,1,-6.158,1,0.0381,0.0931,0,0.0644,0.691,124.998,4,190409,Sports
50,51,51,Missili,Frah Quintale,521291,5dcyltc1ataieXIeTqhH3t,0.706,0.683,4,-5.402,0,0.105,0.443,0,0.313,0.676,90.039,4,195349,Pop
51,52,52,CRUDELIA - I nervi,Marracash,515244,5dsz7MTrNdN9aMTrnp7sOG,0.547,0.554,7,-7.563,1,0.102,0.149,0,0.344,0.0702,82.178,3,230923,Hip-Hop/Rap
52,53,53,NEON - Le Ali (feat. Elisa),Marracash,514238,76cEI7LczlKZ1yLAHIoPBJ,0.703,0.476,1,-6.157,0,0.0387,0.256,0,0.0938,0.292,129.967,4,207084,Hip-Hop/Rap
53,54,54,Cin Cin,Alfa,512772,1jJMhPp0Rm6lAi077PXeEQ,0.701,0.634,1,-4.16,1,0.0344,0.261,0,0.131,0.371,121.047,4,180094,Pop
54,55,55,Allora ciao,Shade,507641,5mtMuoCiBExgzH8SOdXyNB,0.6,0.649,5,-7.443,1,0.09,0.11,0,0.116,0.747,155.875,4,166254,Hip-Hop/Rap
55,56,56,Physical,Dua Lipa,506678,3AzjcOeAmA57TIOr9zF1ZW,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,4,193829,Pop
56,57,57,Ma lo vuoi capire?,Tommaso Paradiso,505718,4Veqf07wBQY58QVqNGA1M7,0.429,0.704,0,-5.093,1,0.0518,0.00146,1.05e-06,0.126,0.51,164.13,4,241378,Pop
57,58,58,Marymango (feat. tha Supreme),Ghali,505108,47vSu4hr01kEXnCeCt08Au,0.477,0.755,10,-5.781,0,0.163,0.0351,0,0.1,0.586,81.283,4,204984,Hip-Hop/Rap
58,59,59,Domani ci passa,Ludwig,491543,3elLXGwE5zaREuOzWdlRJ2,0.708,0.736,11,-4.391,1,0.0398,0.0399,0,0.448,0.749,129.959,4,145463,Dance
59,60,60,Ora che ti guardo bene,Gazzelle,486414,25rH6l9UjJaLu4Ckxku8XT,0.672,0.464,0,-5.757,1,0.0407,0.217,0.000129,0.103,0.289,79.996,4,172836,Alternative
